offer_id,domain_tag,v2_skills,v3_skills,v3_core_metier,v3_tool,v3_context,v3_noise
182,sales,3,4,3,0,1,0
810,finance,4,4,3,1,0,0
779,sales,2,5,4,0,1,0
528,supply,3,4,3,0,1,0
110,engineering,1,3,3,0,0,0
931,engineering,2,5,5,0,0,0
811,marketing,2,3,3,0,0,0
563,finance,4,5,3,1,1,0
557,supply,1,5,4,1,0,0
143,finance,3,3,1,1,1,0
496,finance,3,5,2,2,1,0
58,sales,2,5,5,0,0,0
228,marketing,4,5,4,1,0,0
667,engineering,3,4,3,1,0,0
623,sales,3,4,2,1,1,0
485,engineering,1,4,3,0,1,0
814,engineering,2,4,3,0,0,1
668,finance,2,4,2,1,1,0
850,supply,1,3,1,1,1,0
294,operations,0,5,3,1,1,0
229,admin,1,4,3,0,1,0
481,sales,0,5,5,0,0,0
559,admin,0,5,5,0,0,0
788,engineering,1,4,4,0,0,0
304,data,4,5,4,1,0,0
926,sales,2,2,2,0,0,0
645,engineering,0,3,3,0,0,0
52,finance,1,4,4,0,0,0
607,operations,2,5,5,0,0,0
633,engineering,5,5,4,1,0,0
438,operations,1,5,5,0,0,0
382,data,2,5,4,1,0,0
258,data,1,5,5,0,0,0
378,operations,1,4,3,1,0,0
341,finance,0,5,5,0,0,0
483,operations,4,5,5,0,0,0
450,sales,2,5,5,0,0,0
900,engineering,1,4,3,1,0,0
405,engineering,1,4,3,0,1,0
170,engineering,1,5,5,0,0,0
762,finance,0,5,3,1,1,0
712,supply,1,5,5,0,0,0
192,other,1,5,5,0,0,0
276,sales,0,4,3,0,1,0
513,finance,4,5,3,1,1,0
473,engineering,1,3,2,1,0,0
646,data,3,4,4,0,0,0
878,operations,4,5,4,0,1,0
379,sales,2,5,5,0,0,0
679,admin,2,4,4,0,0,0
320,hr,2,5,5,0,0,0
942,sales,0,5,3,1,1,0
375,supply,1,5,4,0,1,0
115,supply,2,2,2,0,0,0
108,operations,1,4,3,0,1,0
729,data,1,5,5,0,0,0
680,supply,2,5,4,0,1,0
408,sales,3,4,2,2,0,0
59,engineering,0,5,3,2,0,0
782,sales,2,5,3,1,1,0
589,engineering,4,5,4,1,0,0
689,operations,1,5,4,1,0,0
127,engineering,1,3,2,0,1,0
555,marketing,0,4,3,1,0,0
522,engineering,2,5,5,0,0,0
682,data,2,5,2,2,1,0
674,supply,1,5,5,0,0,0
567,hr,1,2,2,0,0,0
329,finance,2,5,5,0,0,0
630,sales,3,5,4,1,0,0
44,finance,2,5,4,1,0,0
575,data,3,5,4,0,1,0
401,engineering,0,5,5,0,0,0
816,operations,0,4,2,0,2,0
659,engineering,1,5,5,0,0,0
739,finance,2,5,3,2,0,0
676,sales,2,4,3,0,1,0
153,sales,3,5,5,0,0,0
778,sales,3,4,3,0,1,0
507,sales,1,5,4,0,1,0
279,engineering,2,5,3,2,0,0
214,supply,1,5,5,0,0,0
847,engineering,1,5,4,1,0,0
9,sales,4,5,5,0,0,0
903,sales,2,4,3,0,1,0
419,engineering,3,4,3,1,0,0
741,finance,3,5,5,0,0,0
716,engineering,1,5,5,0,0,0
897,finance,1,5,4,0,1,0
664,finance,2,5,3,2,0,0
543,finance,2,4,3,1,0,0
736,engineering,4,5,2,2,1,0
565,engineering,2,5,5,0,0,0
566,supply,1,4,4,0,0,0
551,engineering,0,5,5,0,0,0
532,finance,2,5,4,0,1,0
457,supply,1,5,3,1,1,0
945,engineering,0,5,4,1,0,0
592,engineering,0,4,2,1,1,0
948,marketing,0,5,5,0,0,0
281,other,1,4,4,0,0,0
687,hr,2,4,3,1,0,0
7292,data,3,5,2,3,0,0
553,engineering,1,3,3,0,0,0
259,engineering,2,5,5,0,0,0
519,finance,4,4,4,0,0,0
302,data,1,4,2,2,0,0
172,hr,2,4,4,0,0,0
409,data,1,5,3,1,1,0
840,engineering,0,5,4,0,1,0
288,supply,1,5,4,0,1,0
622,engineering,2,5,4,1,0,0
521,engineering,2,5,4,1,0,0
927,engineering,1,5,5,0,0,0
3,finance,1,5,3,1,0,1
936,marketing,1,5,5,0,0,0
921,engineering,1,5,3,2,0,0
774,operations,0,5,5,0,0,0
398,hr,1,3,2,1,0,0
249,supply,2,5,5,0,0,0
635,supply,1,5,5,0,0,0
255,other,2,5,5,0,0,0
388,engineering,1,4,3,1,0,0
165,supply,3,5,5,0,0,0
56,admin,2,5,5,0,0,0
151,sales,5,5,3,1,1,0
820,other,1,4,4,0,0,0
639,finance,2,5,5,0,0,0
296,supply,0,5,3,1,1,0
209,engineering,1,5,3,1,1,0
620,engineering,1,5,5,0,0,0
894,engineering,1,5,3,0,2,0
868,engineering,2,5,5,0,0,0
138,operations,2,3,2,1,0,0
418,admin,1,4,3,1,0,0
245,sales,2,5,5,0,0,0
205,engineering,0,5,5,0,0,0
947,engineering,1,4,3,1,0,0
761,finance,0,3,2,0,1,0
407,engineering,1,3,2,1,0,0
325,engineering,1,5,3,1,1,0
895,finance,0,2,1,1,0,0
673,hr,1,5,4,1,0,0
904,engineering,2,4,3,0,1,0
443,supply,3,5,4,0,1,0
387,hr,1,2,2,0,0,0
783,sales,2,5,4,0,1,0
484,sales,3,5,4,0,0,1
334,operations,0,4,3,1,0,0
558,hr,2,2,1,1,0,0
144,operations,0,5,5,0,0,0
540,hr,3,4,3,1,0,0
168,sales,3,5,4,0,1,0
690,engineering,1,5,3,1,0,1
598,admin,0,4,3,0,1,0
471,marketing,0,5,3,1,0,1
526,finance,2,5,4,1,0,0
393,finance,3,5,3,1,1,0
287,hr,1,5,5,0,0,0
524,marketing,0,5,3,0,1,1
464,finance,2,2,1,1,0,0
312,supply,1,4,4,0,0,0
167,operations,3,4,4,0,0,0
498,finance,3,5,3,1,1,0
862,marketing,2,5,5,0,0,0
290,operations,0,5,5,0,0,0
494,admin,2,5,3,1,1,0
469,operations,4,5,4,1,0,0
683,engineering,0,5,5,0,0,0
300,engineering,2,5,5,0,0,0
118,operations,1,5,5,0,0,0
793,sales,0,5,4,0,1,0
662,hr,3,5,5,0,0,0
608,operations,2,5,5,0,0,0
317,sales,0,2,2,0,0,0
284,sales,3,5,3,1,1,0
342,supply,2,4,3,1,0,0
702,supply,1,5,5,0,0,0
488,engineering,1,3,3,0,0,0
126,data,3,3,1,2,0,0
194,operations,2,5,3,0,2,0
360,engineering,1,5,3,2,0,0
463,hr,1,5,5,0,0,0
476,operations,2,2,2,0,0,0
883,engineering,1,5,5,0,0,0
629,supply,3,4,3,0,0,1
367,engineering,1,5,3,2,0,0
726,engineering,0,4,3,0,1,0
374,engineering,1,5,4,1,0,0
588,data,4,4,3,1,0,0
41,other,0,2,2,0,0,0
439,engineering,0,5,3,2,0,0
206,admin,2,5,5,0,0,0
46,sales,2,5,4,0,1,0
224,data,2,5,1,4,0,0
719,supply,3,5,3,1,0,1
586,engineering,0,5,3,1,1,0
572,engineering,2,5,5,0,0,0
53,finance,1,5,4,1,0,0
756,engineering,0,5,3,2,0,0
336,supply,2,4,4,0,0,0
318,engineering,2,4,3,0,1,0
247,hr,1,4,4,0,0,0
260,supply,4,5,2,2,1,0
423,engineering,2,1,1,0,0,0
136,supply,2,3,3,0,0,0
647,hr,1,5,5,0,0,0
442,hr,2,4,4,0,0,0
354,operations,1,3,3,0,0,0
139,admin,2,5,5,0,0,0
593,engineering,1,4,2,1,1,0
479,supply,4,4,3,1,0,0
293,data,1,5,4,0,1,0
411,sales,1,5,3,2,0,0
869,engineering,3,5,5,0,0,0
864,operations,2,5,4,1,0,0
425,supply,0,4,3,0,1,0
672,sales,1,5,5,0,0,0
495,finance,1,5,4,0,1,0
154,sales,2,5,5,0,0,0
825,engineering,0,3,2,0,1,0
657,operations,2,5,4,0,1,0
234,engineering,2,3,2,1,0,0
316,data,2,5,1,4,0,0
474,engineering,2,4,4,0,0,0
403,sales,2,5,5,0,0,0
899,engineering,2,4,4,0,0,0
935,engineering,3,5,5,0,0,0
256,engineering,2,5,4,1,0,0
654,supply,2,5,4,1,0,0
332,supply,2,5,5,0,0,0
748,engineering,1,3,3,0,0,0
675,supply,2,4,3,1,0,0
628,engineering,3,5,5,0,0,0
696,sales,2,4,2,1,1,0
885,finance,2,5,5,0,0,0
422,engineering,3,5,5,0,0,0
549,engineering,1,3,3,0,0,0
185,engineering,1,5,3,1,1,0
653,engineering,1,4,2,2,0,0
380,finance,2,3,2,0,1,0
215,engineering,1,5,5,0,0,0
130,engineering,0,5,4,0,1,0
270,legal,2,5,4,1,0,0
898,sales,1,2,2,0,0,0
612,data,2,4,3,1,0,0
486,finance,2,5,4,0,1,0
435,engineering,3,5,3,2,0,0
625,supply,3,4,3,1,0,0
384,operations,3,5,2,2,1,0
617,sales,1,4,3,0,1,0
351,supply,1,5,5,0,0,0
116,sales,1,4,4,0,0,0
765,operations,0,5,4,1,0,0
7308,supply,1,5,5,0,0,0
552,engineering,1,4,4,0,0,0
887,engineering,2,5,5,0,0,0
837,operations,1,4,4,0,0,0
819,sales,2,5,4,0,1,0
314,engineering,1,4,3,1,0,0
817,sales,2,5,3,1,1,0
386,supply,1,5,5,0,0,0
431,supply,3,5,5,0,0,0
426,finance,4,4,4,0,0,0
433,data,3,4,3,1,0,0
364,data,0,5,5,0,0,0
877,operations,2,4,3,0,1,0
491,finance,4,4,4,0,0,0
734,engineering,3,5,4,1,0,0
299,engineering,2,5,3,2,0,0
169,engineering,1,4,3,0,0,1
855,supply,1,5,4,0,0,1
605,engineering,1,5,4,1,0,0
345,legal,1,5,5,0,0,0
541,engineering,0,3,3,0,0,0
436,engineering,2,4,4,0,0,0
180,data,4,5,5,0,0,0
660,engineering,2,3,1,1,1,0
910,finance,3,5,4,1,0,0
437,engineering,2,4,3,0,1,0
236,engineering,2,5,3,2,0,0
941,operations,2,5,4,1,0,0
626,supply,3,5,3,1,0,1
957,engineering,2,5,3,1,1,0
263,supply,1,5,5,0,0,0
949,hr,2,2,2,0,0,0
836,finance,0,4,3,1,0,0
197,engineering,2,5,5,0,0,0
135,marketing,1,5,4,1,0,0
784,hr,2,5,4,0,1,0
493,marketing,1,5,4,0,0,1
711,engineering,0,5,5,0,0,0
707,sales,2,5,3,1,1,0
665,supply,3,5,4,0,0,1
470,sales,1,5,5,0,0,0
454,marketing,3,3,3,0,0,0
780,operations,1,4,4,0,0,0
768,sales,2,5,3,2,0,0
482,sales,2,1,1,0,0,0
227,data,3,5,5,0,0,0
838,engineering,1,5,3,1,1,0
478,sales,2,5,4,1,0,0
149,legal,0,4,3,0,1,0
577,sales,1,5,4,0,1,0
311,engineering,2,4,4,0,0,0
505,operations,3,5,4,0,1,0
103,finance,0,5,3,1,0,1
280,engineering,2,5,4,1,0,0
239,hr,2,5,3,1,1,0
121,engineering,3,1,1,0,0,0
420,engineering,2,5,5,0,0,0
188,supply,2,5,4,0,1,0
461,data,1,4,3,0,1,0
561,finance,3,1,1,0,0,0
240,data,2,5,5,0,0,0
328,supply,2,5,5,0,0,0
717,legal,1,5,5,0,0,0
525,engineering,2,3,3,0,0,0
634,engineering,0,5,4,1,0,0
845,sales,2,5,4,1,0,0
755,engineering,1,5,4,0,1,0
650,engineering,1,5,4,1,0,0
196,data,2,5,3,1,1,0
291,engineering,1,4,4,0,0,0
703,sales,1,5,5,0,0,0
226,supply,3,5,3,1,0,1
210,supply,1,5,3,1,1,0
843,operations,1,5,3,1,1,0
710,engineering,2,5,5,0,0,0
48,operations,0,4,3,1,0,0
447,finance,2,5,3,1,1,0
859,data,1,4,3,1,0,0
842,operations,1,5,3,1,0,1
767,engineering,2,4,4,0,0,0
298,hr,2,4,4,0,0,0
61,hr,2,5,4,1,0,0
244,engineering,2,4,3,0,0,1
691,engineering,2,5,4,1,0,0
954,engineering,1,4,3,0,1,0
468,sales,1,5,5,0,0,0
697,engineering,0,4,3,1,0,0
800,engineering,2,5,3,1,1,0
251,sales,2,5,5,0,0,0
204,other,1,5,4,0,1,0
705,engineering,2,5,5,0,0,0
104,hr,2,5,3,1,1,0
5,engineering,1,5,3,1,1,0
960,supply,3,5,5,0,0,0
171,finance,4,5,4,1,0,0
456,engineering,0,3,2,1,0,0
796,finance,1,5,3,1,1,0
397,sales,2,4,3,1,0,0
531,hr,2,5,3,1,1,0
604,data,2,4,1,2,1,0
427,engineering,2,4,4,0,0,0
347,supply,1,5,5,0,0,0
283,operations,2,5,4,0,1,0
807,engineering,2,5,4,1,0,0
546,operations,1,4,4,0,0,0
179,supply,2,4,3,0,1,0
562,supply,1,5,5,0,0,0
686,engineering,2,2,2,0,0,0
636,admin,1,3,3,0,0,0
297,engineering,0,3,2,1,0,0
681,finance,1,4,3,0,0,1
361,sales,1,3,3,0,0,0
303,sales,3,5,3,1,1,0
105,engineering,3,5,4,1,0,0
829,engineering,0,5,4,0,0,1
402,engineering,0,4,4,0,0,0
785,engineering,1,1,1,0,0,0
804,engineering,3,4,3,0,1,0
472,supply,3,5,3,1,1,0
444,engineering,3,5,5,0,0,0
537,engineering,0,5,5,0,0,0
445,finance,1,5,5,0,0,0
233,sales,0,4,4,0,0,0
866,legal,1,5,3,2,0,0
889,admin,0,4,3,0,1,0
373,supply,2,5,3,2,0,0
252,finance,2,5,5,0,0,0
343,marketing,1,5,4,1,0,0
776,operations,4,5,4,1,0,0
467,operations,2,5,3,1,1,0
723,hr,2,4,2,1,0,1
327,sales,4,4,4,0,0,0
253,sales,3,5,5,0,0,0
692,engineering,1,5,3,1,1,0
581,engineering,1,4,3,1,0,0
497,admin,0,4,3,0,0,1
109,engineering,1,5,5,0,0,0
884,engineering,1,4,3,1,0,0
133,engineering,0,5,3,0,2,0
953,engineering,0,5,4,1,0,0
609,operations,2,1,1,0,0,0
724,operations,2,5,5,0,0,0
416,data,3,5,4,0,0,1
195,engineering,1,5,5,0,0,0
199,engineering,1,4,2,2,0,0
372,marketing,0,5,4,1,0,0
369,engineering,1,5,4,0,1,0
441,engineering,0,5,4,1,0,0
339,engineering,0,5,4,0,1,0
600,finance,3,5,4,1,0,0
243,sales,1,5,4,1,0,0
902,operations,2,5,5,0,0,0
772,operations,2,2,1,0,1,0
335,hr,3,5,5,0,0,0
740,engineering,1,5,4,1,0,0
603,data,3,1,1,0,0,0
591,hr,2,3,3,0,0,0
892,sales,2,5,4,1,0,0
808,engineering,3,3,3,0,0,0
383,data,4,5,2,2,1,0
856,admin,0,4,4,0,0,0
230,engineering,2,4,3,0,1,0
301,supply,3,5,5,0,0,0
7,sales,3,5,3,2,0,0
757,engineering,0,5,4,1,0,0
771,finance,3,3,3,0,0,0
827,engineering,1,4,4,0,0,0
503,sales,1,5,4,0,1,0
254,engineering,3,5,3,1,1,0
952,finance,1,4,3,1,0,0
78,sales,3,5,4,0,1,0
573,supply,3,5,4,0,1,0
159,supply,2,4,2,1,1,0
432,finance,3,4,3,1,0,0
250,supply,0,3,3,0,0,0
857,engineering,1,3,3,0,0,0
611,finance,0,5,3,1,1,0
619,data,3,4,4,0,0,0
890,admin,0,4,3,0,1,0
621,engineering,1,3,2,1,0,0
319,engineering,1,4,2,1,1,0
1,sales,1,4,2,1,1,0
76,engineering,2,5,2,2,1,0
517,sales,4,5,4,0,1,0
962,finance,3,5,4,1,0,0
106,data,5,5,3,2,0,0
178,sales,3,5,4,0,1,0
129,engineering,3,5,4,0,1,0
795,operations,3,5,5,0,0,0
203,operations,2,4,2,1,1,0
809,engineering,2,3,2,1,0,0
585,engineering,2,3,2,1,0,0
8,sales,3,5,2,2,1,0
934,operations,1,4,3,0,1,0
908,finance,4,5,4,1,0,0
789,engineering,1,4,4,0,0,0
708,engineering,1,3,2,0,1,0
455,finance,2,5,3,2,0,0
346,sales,1,4,2,1,1,0
370,sales,1,5,4,1,0,0
684,engineering,2,5,4,1,0,0
267,engineering,2,5,3,2,0,0
713,sales,2,5,5,0,0,0
773,supply,4,3,2,1,0,0
448,supply,3,5,4,1,0,0
7295,admin,1,5,3,1,1,0
146,data,1,4,3,1,0,0
930,engineering,2,5,4,1,0,0
396,engineering,1,4,3,0,1,0
861,engineering,2,2,2,0,0,0
701,finance,1,4,3,1,0,0
511,admin,2,4,2,1,1,0
162,supply,2,5,4,1,0,0
132,supply,3,4,2,1,1,0
738,hr,1,5,3,1,1,0
797,engineering,1,5,5,0,0,0
514,engineering,2,5,5,0,0,0
322,sales,1,5,3,1,0,1
582,data,5,5,3,2,0,0
854,sales,2,5,5,0,0,0
389,supply,0,5,5,0,0,0
943,engineering,1,4,3,0,1,0
330,supply,1,5,5,0,0,0
916,sales,1,5,4,0,1,0
751,engineering,0,2,1,1,0,0
237,engineering,0,4,4,0,0,0
451,admin,1,5,3,2,0,0
262,supply,2,5,4,0,1,0
863,engineering,2,5,3,1,1,0
323,hr,2,4,3,1,0,0
337,supply,1,4,3,1,0,0
114,engineering,0,5,4,1,0,0
504,operations,3,4,3,0,1,0
60,operations,1,5,5,0,0,0
399,data,2,5,4,1,0,0
238,data,1,4,4,0,0,0
112,engineering,0,3,3,0,0,0
547,engineering,0,5,5,0,0,0
818,supply,1,5,4,0,1,0
754,supply,3,5,5,0,0,0
613,data,3,5,5,0,0,0
518,operations,2,5,4,1,0,0
289,supply,1,5,5,0,0,0
737,engineering,0,5,5,0,0,0
583,operations,2,4,2,1,1,0
65,engineering,3,4,2,2,0,0
569,admin,3,5,2,3,0,0
124,supply,1,2,2,0,0,0
615,finance,1,5,4,0,1,0
452,operations,1,4,3,0,1,0
798,marketing,1,5,3,2,0,0
693,engineering,2,4,3,1,0,0
830,operations,2,5,5,0,0,0
744,supply,2,5,3,1,0,1
200,sales,2,5,5,0,0,0
715,sales,1,5,5,0,0,0
490,marketing,1,4,3,0,1,0
235,engineering,1,5,4,0,1,0
601,engineering,2,4,4,0,0,0
590,admin,1,5,3,1,1,0
763,engineering,0,5,4,0,1,0
627,data,3,3,2,0,1,0
119,finance,2,4,3,0,1,0
306,operations,2,5,5,0,0,0
286,operations,1,4,3,0,0,1
376,engineering,2,5,5,0,0,0
147,data,0,5,5,0,0,0
860,engineering,1,2,2,0,0,0
480,engineering,3,5,3,2,0,0
338,operations,1,4,3,0,1,0
202,supply,0,5,5,0,0,0
685,engineering,1,5,5,0,0,0
905,finance,3,5,4,1,0,0
358,operations,1,4,3,1,0,0
412,sales,4,5,4,1,0,0
610,operations,0,3,3,0,0,0
79,engineering,1,5,4,0,1,0
950,operations,1,5,3,2,0,0
564,data,3,5,5,0,0,0
678,supply,1,5,4,0,1,0
535,engineering,1,4,3,1,0,0
812,finance,4,5,5,0,0,0
579,supply,1,5,5,0,0,0
510,engineering,0,3,2,1,0,0
642,finance,3,5,3,2,0,0
232,data,2,5,4,1,0,0
77,supply,2,4,3,1,0,0
725,engineering,1,3,2,1,0,0
131,engineering,1,5,5,0,0,0
198,engineering,1,4,2,1,1,0
310,operations,1,4,4,0,0,0
212,engineering,0,3,2,1,0,0
832,supply,2,5,5,0,0,0
907,finance,4,5,4,1,0,0
404,engineering,4,5,1,4,0,0
7294,operations,2,4,3,1,0,0
584,engineering,4,5,2,3,0,0
746,engineering,1,5,5,0,0,0
720,marketing,3,5,3,1,0,1
917,engineering,4,4,4,0,0,0
806,sales,2,4,3,1,0,0
939,legal,1,5,5,0,0,0
489,engineering,2,4,4,0,0,0
834,engineering,3,5,5,0,0,0
831,data,4,3,3,0,0,0
813,engineering,2,4,3,1,0,0
515,sales,4,5,4,1,0,0
574,supply,4,5,4,0,1,0
616,sales,2,4,3,0,1,0
225,engineering,0,3,3,0,0,0
706,engineering,2,5,5,0,0,0
333,operations,4,4,2,1,1,0
571,finance,2,4,2,1,1,0
516,supply,2,5,5,0,0,0
956,engineering,1,5,4,0,1,0
666,data,1,2,1,0,1,0
542,engineering,0,3,3,0,0,0
395,sales,2,5,4,1,0,0
216,marketing,4,5,4,1,0,0
174,supply,1,4,4,0,0,0
45,data,3,5,4,0,1,0
958,engineering,1,5,3,1,1,0
882,supply,1,2,2,0,0,0
295,supply,4,5,4,1,0,0
694,engineering,0,3,2,1,0,0
213,other,0,5,4,0,1,0
955,engineering,2,5,2,2,1,0
891,sales,2,3,2,1,0,0
134,engineering,1,4,3,0,1,0
274,other,0,4,3,0,1,0
918,data,3,3,3,0,0,0
801,supply,1,5,5,0,0,0
163,engineering,4,5,3,1,1,0
833,engineering,1,5,5,0,0,0
669,engineering,1,5,4,1,0,0
223,finance,2,1,1,0,0,0
352,hr,1,5,5,0,0,0
848,finance,0,5,5,0,0,0
362,supply,1,5,3,1,1,0
221,finance,2,3,3,0,0,0
752,engineering,2,5,4,1,0,0
430,marketing,2,5,3,1,1,0
102,supply,1,5,5,0,0,0
688,engineering,2,5,4,1,0,0
158,operations,2,5,5,0,0,0
594,data,3,5,2,2,1,0
460,supply,1,4,2,0,1,1
533,engineering,0,4,3,0,1,0
499,hr,2,5,5,0,0,0
265,sales,3,4,3,1,0,0
915,engineering,3,4,4,0,0,0
111,finance,4,5,5,0,0,0
851,operations,2,4,3,1,0,0
459,supply,2,5,3,1,0,1
207,operations,2,5,3,1,1,0
62,supply,1,5,5,0,0,0
123,sales,2,5,5,0,0,0
893,sales,1,5,5,0,0,0
871,data,3,5,4,1,0,0
881,operations,2,5,5,0,0,0
326,finance,2,4,4,0,0,0
568,engineering,1,5,5,0,0,0
